advantages,company,data,degree,describe,experiences,high_salary,low_salary,num,place,position,task,type 
"五险一金,绩效奖金,股票期权,交通补助,餐补,通讯补贴,带薪年假,免费班车",南京坤航信息科技有限公司 ,2018-04-16 20:14:32,本科,"岗位职责：,1  负责开发机器人行业的具体应用，能够针对客户要求，设计出相应的解决方案；,2  负责机器人系统上位机软件开发、调试；,3  负责机器人系统配置和现场的调试安装；,4  参与编写相关技术文档，并对相关的测试、实施人员进行培训和指导；,4  高质高效完成公司交办的其它任务。,任职要求：,1 全日制本科及以上学历，计算机、软件工程、自动化等专业；,2 熟悉常用机械臂、伺服电机、触摸屏、PLC的操作和原理，具备一定的应用及开发经验，具备关键元器件选型和系统集成能力,2  掌握开发及调试能力，有3年以上软件开发经验，掌握多种界面开发工具（Qt、MFC、Python、Labview等），具备复杂软件界面和人机交互开发能力；,3  具有良好的分析问题，解决问题能力，能独立承担研发项目，对机器人及相关行业具有一定的认识；,4  有一定的英语听说读写能力。,5  具备良好的客户沟通能力。,6  具备良好的团队合作精神，有上进心，工作努力者。,

,
南京坤航信息科技有限公司是一家从事机器人和机电产品技术开发的高科技企业。公司于2015年4月成立，注册资本1000万，位于南京市麒麟科技创新园机器人产业基地。公司现有员工17人，技术团队来自清华大学、国防科技大学、南京理工大学等国内著名的研究机构和高校，其中博士2人，硕士4人，高级职称4人，团队成员老中青结合，兼具理论水平、工程经验、创新意识及创业激情。团队具有十多年的机器人、多轴伺服系统控制技术、大型复杂机电系统集成技术的研发经历，长期跟踪相关行业的技术发展和市场动态，在机器人、机器人伺服电机等方面具有国内领先的技术水平以及丰富的产品工程化经验。    公司的主要产品包括特种机器人、工业机器人、机器人相关产品三大系列，其中特种机器人主要包括救援机器人、巡检机器人、变形机器人等产品，主要应用于国防军工、反恐安保、抢险救灾等领域，目前正在开发的国内首套大型变形机器人将于2018年出厂交付用户；工业机器人主要包括机器人系统集成应用、浇铸机器人、新能源电池生产机器人、工业自动化生产线等；机器人相关产品主要包括移动机器人、服务机器人的机械臂及小功率伺服电机、控制器、机器人专用舵机等产品，主要应用于轻工业、服务业、食品行业等领域。    为满足公司长远发展需求，迫切需要引进一批综合素质强、技术水平高、有创业精神的青年才俊携手共发展。公司始终坚持以人为本、以才为重，将为员工提供人尽其才的广阔空间，提供富有竞争力的薪酬体系以及股权激励制度。
,
",1-3年,10000,8001,3,南京,机器人应用工程师,自动化工程师,全职
"五险一金,绩效奖金,年底双薪,节日福利,全勤奖,弹性工作,不加班,带薪年假",南京其乐培训中心 ,2018-03-20 19:00:10,本科,"岗位职责：负责服务器的部署、业务的维护，技术支持、故障处理、人员培训等,岗位要求：1.2-3年linux环境部署运维管理经验；,                 2.熟练掌握Python/Shell/Perl/C等1至2种语言；,                 3.熟悉mysql数据库以及数据备份、迁移；,                 4.熟悉常见IT监控运维工具cacti、Nagios、zabbix等配置与使用,                 5.熟练掌握路由、交换协议，可独立进行安装、调试、配置网络优化及故障排除  ,                 6.熟悉VMware、KVM、Xen等业界主流虚拟化技术。,                 7.吃苦耐劳，认真负责，严谨细致、良好的团队合作精神和沟通协调能力。,,

,
,南京其乐培训中心（江苏省工业设计学会培训部）是经南京市民政局、人社局批准成立的正规办学机构，是江苏省职业资格鉴定中心全国统一培训鉴定报名点、江苏省残联职业技能培训示范点、南京市人社局再就业培训中标单位、南京市残联职业技能培训基地、南京林业大学成人教育校外办学点。,培训中心总部位于红悦城德盈国际广场1幢602，拥有2个多媒体教室、1个标准配置摄影棚；分部（共建教学基地）位于河西江东北路191号，拥有1个多媒体教室、2个理论教室和1个多功能厅。培训中心拥有各类教学设备120余台套，具备中级、高级职称或硕士以上学历的专、兼职教师20余人。,自2003年成立以来，已开展职业技能培训5000余人次、成人本科学历教育600余人次，学员在各类中、高级职业资格证书考试中通过率均在90%以上。,培训中心2008年即被南京市劳动局评为“诚信办学机构”，目前常年开设的培训项目有室内设计、广告设计、计算机辅助绘图（CAD）、摄影师、Photoshop等。以实用技术为导向、拓展职业技能、提升学员就业竞争力是我们的培训目标，热忱欢迎广大学员来前来报考、学习、取证。, ,
",1-3年,10000,5000,2,南京,linux运维工程师,网络工程师,全职
"五险一金,绩效奖金,餐补,带薪年假,弹性工作,定期体检,员工旅游,节日福利",江苏神州信源系统工程有限公司 ,,硕士,"岗位职责：,了解数据分析的步骤：,1. 获取数据（从数据库中获取数据） ,2. 数据清洗（缺测度分析，逻辑自洽分析，数据降维） ,3. 设计模型：主要的模型种类（加粗为基本算法）,    回归算法：线性回归（LR），逻辑回归等,    分类算法：贝叶斯，支持向量机（SVM），决策树等,    聚类算法：K均值（Kmeans）等,    关联规则：Apriori，FPGrowth 等,    推荐算法：协同过滤（欧式距离，皮尔逊相关系数，余弦相关度）等          神经网络： BP，卷积，深度学习等, 4. 参量分析：            ,分布规则：高斯正态分布，T分布，F分布（卡方分布），二项分布，狄利克雷分布等,检验方法：格拉布斯准则，统计T检验，F检验,    ,5. 简单作图向客户说明建模结果。,岗位要求：,统计学或相关数学专业；,有如下理论知识：,线性代数：  向量，矩阵的相关运算。,高等数学：  光滑曲线的特点，求导和积分。,空间数学：  坐标转化和空间点线面的计算。,统计     ：常用的数据分布状况和简单分析，误差的计算和分析。,掌握python或java种的一种编程技巧，能自行完成模型设计和编码实现。,,

,
,
",不限,18000,9000,5,南京,算法工程师（大数据，JAVA）,软件研发工程师,全职
"五险一金,年底双薪,绩效奖金,节日福利",南京惠衡咨询服务有限公司 ,2018-04-03 08:45:41,本科,"1、计算机、通信相关专业；,2、熟悉windows、linux等操作系统；,3、熟悉C、C++开发语言，熟练运用VS开发工具，了解Python脚本语言；,4、了解主流数据库中至少一种；,5、工作认真负责，善于学习，热衷接受和掌握新技术，能承受一定工作压力；,6、长期外注某研究所,,

,
,南京惠衡咨询服务有限公司成立于2003年，注册资金100万元，是一家由省商务厅（原省外贸厅）指导成立的咨询服务公司。专业从事企业管理咨询、信息咨询、投资理财咨询，以及为客户提供计算机软硬件开发与技术服务。,一直以来，惠衡公司一直秉承着“诚实守信、客户至上”的经营理念，以软件开发与咨询服务为专长，以独立和合作开发的方式，承接了多个软件项目，涉及到多个企事业单位以及政府职能部门，为客户提供优质的长期服务和技术支持，获得客户的一致好评。,2014年，惠衡公司旗下成立了南京惠大衡通软件技术有限公司，该公司是一家基于IT技术的专业服务提供商。惠大衡通致力于IT技术推动企业发展，帮助客户成功的商业理念，为客户提供信息化管理解决方案、改变客户体验、创新商业模式和业务流程外包服务等。服务领域涉及企业信息化的各个方面，包括帮助客户定制IT战略、培训，信息系统设计、高阶蓝图、业务流程优化管理、ERP软件产品的实施、客户化开发、决策分析、移动应用定制开发和信息系统运营维护、健康巡检、评估优化等服务。,,
",1-3年,15000,10001,1,南京,c++开发工程师,软件工程师,全职
"健身俱乐部,五险一金,年底双薪,绩效奖金,包吃,交通补助,通讯补贴,带薪年假",MINIVISION(小视科技) ,2018-03-20 10:32:02,硕士,"岗位要求：,1、具有良好的计算机基础，熟悉掌握C/C++和脚本语言编程(如Shell, Python等）,2、了解机器学习基本算法，如分类、回归、聚类、概率模型等,3、掌握计算机视觉和图像处理基本算法，并在如下一个或多个相关方向有较深入研究：人脸识别、目标检测、目标跟踪、OCR等,4、熟悉Caffe、MxNet、Tensorflow、Torch等任一种深度学习开源框架,5、熟练阅读相关英文论文和专利，并能快速编程实现,6、具有良好的沟通能力和良好的团队合作精神,7、创造性思维，富有想象力，有推进人工智能的理想和使命感,工作职责：,行人等通用目标快速检测及追踪，高精度行人重识别（ReID），人脸等图像超分辨率生成，超大规模（亿级）、开放场景下的人脸识别，行人细粒度（Fine-Grained)属性分析及动作识别，以及各种神经网络模型压缩、蒸馏(Knowledge Distill)等。,,

,
,小视科技（Minivision)成立于2015年4月，是一家基于Machine Learning技术，以AI+为核心，为各行业提供一体化解决斱案，打造智能服务生态的高科技公司。目前已在金融、安防、商圈、医疗等领域提供服务。,公司团队成员近两百名，拥有中国科学院院士、俄罗斯工程院院士、中国国家“青年千人计划”学者、知名金融公司高管等各行业顶尖人才。 ,公司有多年技术储备和深入的市场经验，先后获得南京江宁高新管委会、南京市国资紫金控股、中泽资本、五百强财团、上市公司等战略投资。,,,,,,,,,,,,,,,
",不限,30000,15000,5,南京,图像算法工程师,语音/视频/图形开发,全职
"五险一金,绩效奖金,股票期权,交通补助,餐补,通讯补贴,带薪年假,免费班车",南京坤航信息科技有限公司 ,2018-04-19 18:26:46,本科,"岗位职责：,1  负责开发机器人行业的具体应用，能够针对客户要求，设计出相应的解决方案；,2  负责机器人系统上位机软件开发、调试；,3  负责机器人系统配置和现场的调试安装；,4  参与编写相关技术文档，并对相关的测试、实施人员进行培训和指导；,4  高质高效完成公司交办的其它任务。,任职要求：,1 全日制本科及以上学历，计算机、软件工程、自动化等专业；,2 熟悉常用机械臂、伺服电机、触摸屏、PLC的操作和原理，具备一定的应用及开发经验，具备关键元器件选型和系统集成能力,2  掌握开发及调试能力，有3年以上软件开发经验，掌握多种界面开发工具（Qt、MFC、Python、Labview等），具备复杂软件界面和人机交互开发能力；,3  具有良好的分析问题，解决问题能力，能独立承担研发项目，对机器人及相关行业具有一定的认识；,4  有一定的英语听说读写能力。,5  具备良好的客户沟通能力。,6  具备良好的团队合作精神，有上进心，工作努力者。,

,
南京坤航信息科技有限公司是一家从事机器人和机电产品技术开发的高科技企业。公司于2015年4月成立，注册资本1000万，位于南京市麒麟科技创新园机器人产业基地。公司现有员工17人，技术团队来自清华大学、国防科技大学、南京理工大学等国内著名的研究机构和高校，其中博士2人，硕士4人，高级职称4人，团队成员老中青结合，兼具理论水平、工程经验、创新意识及创业激情。团队具有十多年的机器人、多轴伺服系统控制技术、大型复杂机电系统集成技术的研发经历，长期跟踪相关行业的技术发展和市场动态，在机器人、机器人伺服电机等方面具有国内领先的技术水平以及丰富的产品工程化经验。    公司的主要产品包括特种机器人、工业机器人、机器人相关产品三大系列，其中特种机器人主要包括救援机器人、巡检机器人、变形机器人等产品，主要应用于国防军工、反恐安保、抢险救灾等领域，目前正在开发的国内首套大型变形机器人将于2018年出厂交付用户；工业机器人主要包括机器人系统集成应用、浇铸机器人、新能源电池生产机器人、工业自动化生产线等；机器人相关产品主要包括移动机器人、服务机器人的机械臂及小功率伺服电机、控制器、机器人专用舵机等产品，主要应用于轻工业、服务业、食品行业等领域。    为满足公司长远发展需求，迫切需要引进一批综合素质强、技术水平高、有创业精神的青年才俊携手共发展。公司始终坚持以人为本、以才为重，将为员工提供人尽其才的广阔空间，提供富有竞争力的薪酬体系以及股权激励制度。
,
",1-3年,10000,8001,3,南京,机器人应用工程师,自动化工程师,全职
"周末双休,五险一金,年底双薪,全勤奖,包吃,交通补助,通讯补贴,带薪年假",MINIVISION(小视科技) ,2018-04-11 09:54:55,本科,"岗位职责：, ,1、linux服务器及其集群的部署及运维管理,2、保障公司业务系统高可用性及数据分析性能调优或架构改造,3、负责相关生产环境的监控、容灾、备份,4、评估网络需求、瓶颈及安全风险完成网络架构优化及网络安全策略制定,5、搭建IT自动化运维监控系统，负责生产环境自动化工具编写，提高运维效率和质量,6、业务运行系统环境的搭建、部署、性能压力测试。,7、熟悉管理常用数据库，能监控数据库运行并给出性能调优方案,岗位要求：, ,必须：2年以上互联网从业经验，4年以上运维工作经验,1. 熟悉shell和python编程语言 ,2.熟悉docker容器，且在生产环境使用过、熟悉ansible等自动化运维工具，有jenkins自动化工作经验 ,3. 熟悉Nginx, IIS,Tomcat 等WEB服务器运维技术 ,4. 熟悉MySQL复制，集群部署、mongodb集群、redis集群、等数据库集群部署和性能调优 ,5. 熟悉基础网络协议（如TCP/IP,DNS,HTTP,HTTPS等），具有故障定位和排错能力，可熟练使用wireshark等工具 ,6. 熟悉阿里云服务操作及云监控等功能 ,7. 熟悉主流Linux和Windows服务器维护，安全防护，Trouble Shooting ,8. 能承受一定的工作压力，有责任心和担当，不断地学习新知识,9.有责任心和担当,,

,
,小视科技（Minivision)成立于2015年4月，是一家基于Machine Learning技术，以AI+为核心，为各行业提供一体化解决斱案，打造智能服务生态的高科技公司。目前已在金融、安防、商圈、医疗等领域提供服务。,公司团队成员近两百名，拥有中国科学院院士、俄罗斯工程院院士、中国国家“青年千人计划”学者、知名金融公司高管等各行业顶尖人才。 ,公司有多年技术储备和深入的市场经验，先后获得南京江宁高新管委会、南京市国资紫金控股、中泽资本、五百强财团、上市公司等战略投资。,,,,,,,,,,,,,,,
",5-10年,15000,12000,1,南京,高级运维工程师,IT技术支持/维护工程师,全职
"周末双休,不加班,带薪年假,每年多次调薪,交通补助,餐补,通讯补贴,五险一金",南京众安信息科技有限公司 ,2018-04-28 15:01:05,大专,"岗位职责：,1.负责公司产品的技术支持工作，并和公司的产品、研发、销售等各部门配合，不断提升用户的产品体验。,2.负责公司的安全项目，如风险评估、渗透测试、安全培训等，参与和把控项目的生命周期，保障项目顺利完成，并不断优化项目标准和流程。,3.负责突发安全事件的应急响应工作，协助客户定位和解决安全问题。,4.负责研究各类安全技术，跟踪最新的安全动态和进展。,任职要求：,1.理工科专业背景，计算机相关专业优先。,2.对信息安全有浓厚兴趣，富有激情，关注最新安全漏洞、安全技术、安全事件等。,3.具有基本的网络基础知识，熟悉 HTTP，TCP/IP 等网络协议及路由交换等网络设备。4.对操作系统、数据库、中间件、WEB服务器等有基本了解。,5.了解常见Web漏洞，如 SQL 注入、XSS、RCE 等，并了解其原理和修复方法。,6.掌握 Python/JavaScript/PHP/JSP/Java/C/C++ 等任意一种编程语言，有一定的编程能力。,7.通过培训，能够具备独立开展渗透测试、安全加固、风险评估等安全项目工作的能力。,8.学习能力强，逻辑思维能力突出，钻研精神强、有上进心和责任感。, 加分项：,1.熟悉主流的安全防护产品、安全测试工具的工作原理与使用方法。,2.熟悉安全服务流程与规范，有实际安全项目经验。,3.在乌云、漏洞盒子、补天等平台有实际提交者，或在安全大赛中获得奖项。,4.有安全、网络、系统、数据库国际认证证书，如 CISP、CISSP、CCNP、CCIE、RHCE 、MCSE、OCP 等。,5.长期维护自己技术博客，善于总结分享。,福利待遇：,1、富有竞争力的薪酬水平和交通，餐补，通讯等各种福利津贴；,2、健全的五险一金及补充商业保险；,3、优厚的年终奖金及每年调薪(至少一次）；,4、完善的培养体系和晋升机制；,5、带薪休假（年假，婚假，丧假，病假等）和春节12天以上超长假期；,6、公司工作环境优雅、氛围好，同事关系简单、生日派对、聚餐等活动丰富；,工作时间：双休，8点半-5点半。,

,
,      南京众安信息科技有限公司位于江苏省南京市，成立于2011年，注册资金1000万元，主要从事电力、金融行业、政府行业、运营商和中小企业的应用系统研发，信息系统集成，网络、信息安全产品销售、咨询等技术服务。公司是国内从事网络安全实践研究、网络安全产品研发和提供全面网络安全服务的技术企业，也是国内信息安全行业的先驱者。自成立伊始，就致力于为我国关键信息基础设施、重要政府部门、大中型企事业单位以及重点行业提供全面的信息安全解决方案，拥有相当规模的客户群体，并已成为国内网络安全、安全攻防、漏洞管理等领域的领导者。,公司目标是利用当今领先的软硬件技术，结合系统工程和研发等增值服务，为各行业提供富有价值的计算机网络及存储解决方案；围绕用户需求，定制化设计、研发、集成、运维应用系统是公司成功的客户模式；通过专业认证工程师，为客户提供经济可靠、安全有效的全方位软硬件服务。,公司成立以来，以科技为先锋，以人才为根本，及时吸收运用国内网最先进的计算机技术成果，经过几年的发展，在研究开发信息安全模型、大型复杂的计算机网络、应用软件等方面积累了丰富的经验，培养了一批知识全面、技术过硬、经验丰富的高技术人才。,依靠先进的技术、超前的意识、创新集成的能力为用户设计完整的信息系统与安全解决方案、提供最佳系统支持服务的宗旨，几年来完成了包括电力、金融、大中型中高等院校、证券交易系统、企业信息管理系统、Intranet办公自动化系统等大型网络应用系统在内的上多个信息系统与信息安全工程。,
",不限,8000,5000,5,南京,安全工程师,网络与信息安全工程师,全职
"五险一金,绩效奖金,餐补",南京明鼎教育科技有限公司 ,2018-05-03 20:01:21,本科,"一、岗位职责1、参与公司产品或项目的需求分析、设计,并根据设计文档或需求说明完成代码编写、调试、测试、上线、维护工作；2、撰写产品或项目相关文档；3、分析并解决软件开发和实际运行过程中遇到的问题；4、配合团队成员完成公司安排的其他任务；二、任职要求1、本科以上学历，5年以上Java开发经验，计算机、软件工程专业优先；2、熟悉spring\spring boot\MyBatis等框架；3、熟悉前端开发，熟练使用jQuery等框架；4、熟悉Tomcat、Nginx常见配置及部署，熟练使用常见Linux命令；5、熟悉MySQL、Oracle至少一种数据库；6、成功上线过Web项目或者App接口项目；7、参与/发起开源项目、熟悉微服务架构、OpenResty/Lua/VueJS/Python/Go开发、数据库SQL调优的优先；,

,
,明日集团由台湾知名企业家温世仁先生创办，主要从事图书、软件、系统等相关数字内容开发、制作和营销运营。目前在北京、上海、南京、成都、兰州、济南、重庆、广州、台北、台中、香港及东京皆设有分公司或办事处。业务范围涵盖动画制作发行、图书音像、衍生周边、品牌授权内容服务、电子商务等，遍及整个教育产业链的各个环节。  ,  旗下南京明鼎教育科技有限公司是一家专业从事学前教育课程研发、教育相关产品设计、教育教学服务软件、幼教培训服务、教学科研仪器设备、计算机系统及网络软硬件产品研发及销售，互联网应用开发及服务于一体的学前教育综合服务机构。    ,明鼎教育拥有遍布全国的幼儿园合作园所上万家，优质的课程体系及专业的培训服务，使得明鼎教育在业内拥有一定的知名度。公司研发推出了多套幼儿课程，覆盖语言、健康、艺术、社会、科学五大领域，全面支持幼儿园各项保教工作，满足园所日常需求。    明鼎教育拥有多位知名海峡两岸的幼教专家，如：许卓娅、李锦蓉、刘容襄、孔起英、梅子涵等，且经常受邀做客明鼎教育官方微信举办的专家微访谈，与园所园长、老师一起做教育教学方面的交流。不定期举办的培训、会议、活动等也都深受广大园所老师的喜爱。    明鼎教育基于移动互联网为园所提供园所管理、园长交流、教育教学、资源共享、课程教案、教学指导、教研培训、产品服务、休闲娱乐等服务，其中推出的幼儿园信息化建设、信息化管理等多项家园共育服务也逐渐改变了传统的家校沟通方式,明鼎教育遵循孩子成长规律，关注孩子语言、艺术、科学、社会、健康五大领域的全面发展，为幼儿园的教学与生活创造了全新的价值，更给予了幼儿教育更大更丰富的可能性。    明鼎教育用实际行动传播先进的教育教学理念，全心全意服务园所，为推动学前教育事业的发展一直在坚定不移的奋斗着。, 南京分公司总部地址：南京建邺路116号3楼乘车路线： 1）乘坐地铁一号线，张府园站下，3号出口上来右转步行10分钟          
2）乘坐公交43、82、41、28路建邺站下研发中心地址：雨花区软件大道180号，,厂库：溧水区柘宁东路388号,
",5-10年,18000,12000,1,南京,Java 高级开发工程师,软件工程师,全职
"五险一金,周末双休,全勤奖,加班补助,带薪年假,餐补",南京明鼎教育科技有限公司 ,2018-05-03 20:01:20,本科,"一、岗位职责1、参与公司产品或项目的需求分析、设计,并根据设计文档或需求说明完成代码编写、调试、测试、上线、维护工作；2、撰写产品或项目相关文档；3、分析并解决软件开发和实际运行过程中遇到的问题；4、配合团队成员完成公司安排的其他任务；二、任职要求1、本科以上学历，5年以上Java开发经验，计算机、软件工程专业优先；2、熟悉spring\spring boot\MyBatis等框架；3、熟悉前端开发，熟练使用jQuery等框架；4、熟悉Tomcat、Nginx常见配置及部署，熟练使用常见Linux命令；5、熟悉MySQL、Oracle至少一种数据库；6、成功上线过Web项目或者App接口项目；7、参与/发起开源项目、熟悉微服务架构、OpenResty/Lua/VueJS/Python/Go开发、数据库SQL调优的优先；,

,
,明日集团由台湾知名企业家温世仁先生创办，主要从事图书、软件、系统等相关数字内容开发、制作和营销运营。目前在北京、上海、南京、成都、兰州、济南、重庆、广州、台北、台中、香港及东京皆设有分公司或办事处。业务范围涵盖动画制作发行、图书音像、衍生周边、品牌授权内容服务、电子商务等，遍及整个教育产业链的各个环节。  ,  旗下南京明鼎教育科技有限公司是一家专业从事学前教育课程研发、教育相关产品设计、教育教学服务软件、幼教培训服务、教学科研仪器设备、计算机系统及网络软硬件产品研发及销售，互联网应用开发及服务于一体的学前教育综合服务机构。    ,明鼎教育拥有遍布全国的幼儿园合作园所上万家，优质的课程体系及专业的培训服务，使得明鼎教育在业内拥有一定的知名度。公司研发推出了多套幼儿课程，覆盖语言、健康、艺术、社会、科学五大领域，全面支持幼儿园各项保教工作，满足园所日常需求。    明鼎教育拥有多位知名海峡两岸的幼教专家，如：许卓娅、李锦蓉、刘容襄、孔起英、梅子涵等，且经常受邀做客明鼎教育官方微信举办的专家微访谈，与园所园长、老师一起做教育教学方面的交流。不定期举办的培训、会议、活动等也都深受广大园所老师的喜爱。    明鼎教育基于移动互联网为园所提供园所管理、园长交流、教育教学、资源共享、课程教案、教学指导、教研培训、产品服务、休闲娱乐等服务，其中推出的幼儿园信息化建设、信息化管理等多项家园共育服务也逐渐改变了传统的家校沟通方式,明鼎教育遵循孩子成长规律，关注孩子语言、艺术、科学、社会、健康五大领域的全面发展，为幼儿园的教学与生活创造了全新的价值，更给予了幼儿教育更大更丰富的可能性。    明鼎教育用实际行动传播先进的教育教学理念，全心全意服务园所，为推动学前教育事业的发展一直在坚定不移的奋斗着。, 南京分公司总部地址：南京建邺路116号3楼乘车路线： 1）乘坐地铁一号线，张府园站下，3号出口上来右转步行10分钟          
2）乘坐公交43、82、41、28路建邺站下研发中心地址：雨花区软件大道180号，,厂库：溧水区柘宁东路388号,
",5-10年,18000,12000,1,南京,高级Java开发工程师,Java开发工程师,全职
"五险一金,年底双薪,股票期权,带薪年假,弹性工作,定期体检,员工旅游,节日福利",恒安嘉新(北京)科技股份公司,2018-04-28 09:29:23,本科,"【岗位职责】,1、负责项目管理/工程实施/系统运维相关工作，包括但不限于：,1）制定项目工作计划，项目场勘和编制项目实施方案，跟踪项目到货情况等,2）项目工程实施：协调项目工程施工（设备上架安装等），操作系统安装/调试，linux下的软件安装部署等,3）推动项目验收工作：用户需求沟通/确认，并负责项目系统演示、客户培训等。,4）项目日常运维工作：独立或团队完成本地项目的日常运维，编制运维报告/周报，及时上报并推动解决运维过程中发现的系统BUG和隐患。,2、协助销售和售前同事完成项目测试、招投标、方案制定等相关工作，维护本地客户关系，挖掘新客户需求和销售机会。,3、对项目相关的新知识进行记录、总结、提交、分享，以及完成领导交办的其他工作事项。,【任职要求】,1、本科及以上学历，计算机、通信等相关专业,2、精通linux/unix类操作系统、熟悉Mysql/Oracle/SqlServer（其中任一种）的日常操作维护。熟悉shell/bash、python等脚本语言者优先；有tomcat、JBoos、weblogc等部署经验者优先。有java、C/C++等编程经验者优先。,3、熟悉网络协议，具有网络常见故障的排障能力，具有常见报文分析能力者优先；有网络工程相关证书者优先（如CCNA,CCNP,CCIE等）。,4、具有计算机、信息安全、通信工程等相关专业背景。具备信息与网络安全相关从业经验者优先。有通信行业相关从业经验者优先。,5、具备优秀的沟通能力，有较强的表达能力、文档编写能力，具备优秀的学习能力，能够快速适应新工作岗位。,

,
,恒安嘉新（北京）科技股份公司成立于 2008 年，注册资金 7500 万元。我们致力于以移动互联网、固网、IDC 以及企业网数据流量为驱动，通过大数据、人工智能、机器学习等核心技术，以及政府的合规监管要求，全天候、全方位地为客户提供“云管端”一体化的解决方案，让“互联网安全+”平台级产品和运营服务成为一个赋能平台。我们矢志成为国家网络空间安全基础能力的搭建者；安全、高效、可信赖的网络空间安全生态的引领者。,公司组织架构完善，设有：市场战略中心、市场营销中心、解决方案产品中心、安全运营与应急响应中心、交付运营运维网管安全中心、智能管道研发分中心、大数据人工智能算法研究分中心、融合管道研发分中心、通信安全研究分中心、用户体验分中心、安全研究分中心、网安/信安研发分中心、智能场景应用分中心、网优/信令研发分中心、质量保障服务中心等二十余个核心部门，在全国 31 个省、市、自治区设有分公司或办事处，拥有由700余名网络与信息安全专业研发、技术与服务人员构成的高质量员工队伍。,公司是国家级高新技术企业，拥有“云-管-端”一体化解决方案，核心业务定位于移动互联网和互联网网络与信息安全服务、产品和解决方案。公司市场覆盖区域广泛，客户涵盖网信办、工信部、公安部、安全部、军队、电信运营商、广电、银行、金融、能源、教育、交通等领域，业务涵盖GBIC（B to Government、B to Business、B to Industry/Internet、B to Customer）等多种类型。,公司依托强大的网络侧资源和“云-管-端”产品体系，全天候、全方位地为客户提供有针对性的产品、服务和解决方案。在管道侧，公司拥有完全自主知识产权的智能网络实时流量分析设备，针对互联网（接入网、城域网、骨干网、国际网、IDC）、通信网（2G、3G、4G 分组域及数据域）、广电网、局域网、私有和公有云，形成高位、中位、低位监测，形成全覆盖的网络流量采集能力、解析能力和处置能力；在云侧，拥有大数据平台，能够针对海量数据和文件进行业务建模和数据挖掘，提供高性能的入库能力、查询能力、挖掘能力、研判能力、预测能力、扫描能力和爬虫能力，同时积累了国内最全的 IP 基础资源库、恶意网址特征库、APP 特征库、协议特征库和漏洞库资源；在终端侧，形成了网络安全、信息安全、网优信令与增值业务产品线，产品范围涵盖移动互联网恶意程序监测系统、木马和僵尸网络监测系统、安全威胁态势感知系统、IDC/ISP 信息安全管理系统、安全威胁情报平台、网络安全综合管控平台、电信诈骗分析与治理平台、网络优化与信令分析平台、大数据平台、通信卫士客户端等。,公司曾获评北京市海淀区“海帆企业”称号、“金种子企业”称号，目前为中关村“重点瞪羚”企业、中关村标准化试点单位、专利试点单位、北京市高新技术企业成果转化示范单位。公司是国家计算机网络与信息安全管理中心的国家级网络安全应急服务支撑单位，公安部国家网络与信息安全信息通报机制技术支持单位，同时作为中国互联网协会反网络病毒联盟（ANVA）、国家信息安全漏洞共享平台（CNVD）、移动互联网应用自律白名单联盟和国家反钓鱼网站举报受理平台的独家运营支撑单位，全面支持国家移动互联网恶意程序特征库、移动互联网应用自律白名单和国家安全漏洞库的建设。公司是国家计算机病毒防治工程实验室和国家计算机病毒防御工程实验室理事单位，并于 2016 年成立了北京市移动互联网安全态势感知与威胁研判工程实验室，在网络安全研究领域拥有丰富的资源和经验。公司具备涉密信息系统集成资质，紧密配合国家相关部门，承接了众多国家级信息安全项目。,养正气，立正见，怀正念，行正道。恒安嘉新将一直秉承“支持国家、助力企业、服务社会、合作创新”的理念，与广大互联网安全企业及客户携手共进，为创造清朗、绿色、公平的网络安全环境而努力。让每一次通信都值得信赖，让安全创造价值。,
",3-5年,10000,8001,1,南京,项目经理,项目经理/项目主管,全职
